386.783	-0.01	386.783	0.63	386.783	0.09	
387.245	-0.01	387.245	0.64	387.245	0.09	
387.706	-0.01	387.706	0.65	387.706	0.1	
388.168	-0	388.168	0.66	388.168	0.1	
388.629	-0	388.629	0.66	388.629	0.1	
389.091	-0.01	389.091	0.66	389.091	0.1	
389.553	-0.01	389.553	0.66	389.553	0.1	
390.014	-0.01	390.014	0.68	390.014	0.1	
390.476	-0.01	390.476	0.68	390.476	0.1	
390.938	-0	390.938	0.69	390.938	0.1	
391.399	-0.01	391.399	0.69	391.399	0.1	
391.861	-0.01	391.861	0.7	391.861	0.1	
392.323	-0	392.323	0.69	392.323	0.1	
392.785	-0	392.785	0.69	392.785	0.1	
393.247	-0.01	393.247	0.7	393.247	0.1	
393.709	-0.01	393.709	0.71	393.709	0.1	
394.17	-0.01	394.17	0.71	394.17	0.1	
394.633	-0	394.633	0.72	394.633	0.1	
395.095	-0.01	395.095	0.71	395.095	0.1	
395.557	-0.01	395.557	0.72	395.557	0.1	
396.019	-0	396.019	0.72	396.019	0.1	
396.481	-0	396.481	0.71	396.481	0.1	
396.943	-0	396.943	0.72	396.943	0.11	
397.405	-0	397.405	0.71	397.405	0.11	
397.868	-0	397.868	0.71	397.868	0.11	
398.33	-0	398.33	0.71	398.33	0.11	
398.792	-0	398.792	0.71	398.792	0.11	
399.255	-0	399.255	0.71	399.255	0.11	
399.717	-0	399.717	0.71	399.717	0.11	
400.179	-0	400.179	0.71	400.179	0.11	
400.642	-0	400.642	0.71	400.642	0.11	
401.104	-0	401.104	0.71	401.104	0.11	
401.567	-0	401.567	0.71	401.567	0.11	
402.03	-0	402.03	0.71	402.03	0.12	
402.492	-0	402.492	0.71	402.492	0.12	
402.955	-0	402.955	0.71	402.955	0.12	
403.418	-0	403.418	0.72	403.418	0.12	
403.88	-0	403.88	0.72	403.88	0.12	
404.343	-0	404.343	0.72	404.343	0.12	
404.806	-0	404.806	0.72	404.806	0.12	
405.269	-0	405.269	0.72	405.269	0.12	
405.732	-0	405.732	0.72	405.732	0.13	
406.195	-0	406.195	0.73	406.195	0.13	
406.658	-0	406.658	0.73	406.658	0.13	
407.121	-0	407.121	0.72	407.121	0.13	
407.584	-0	407.584	0.73	407.584	0.13	
408.047	-0	408.047	0.73	408.047	0.13	
408.51	-0	408.51	0.73	408.51	0.13	
408.973	-0	408.973	0.72	408.973	0.13	
409.436	-0	409.436	0.73	409.436	0.13	
409.899	-0	409.899	0.73	409.899	0.12	
410.363	-0	410.363	0.73	410.363	0.12	
410.826	-0	410.826	0.74	410.826	0.12	
411.289	-0	411.289	0.73	411.289	0.12	
411.753	-0	411.753	0.74	411.753	0.12	
412.216	-0	412.216	0.74	412.216	0.12	
412.68	-0	412.68	0.74	412.68	0.12	
413.143	-0	413.143	0.74	413.143	0.12	
413.607	-0.01	413.607	0.74	413.607	0.12	
414.07	-0.01	414.07	0.75	414.07	0.11	
414.534	-0.01	414.534	0.75	414.534	0.11	
414.997	-0.01	414.997	0.75	414.997	0.11	
415.461	-0.01	415.461	0.75	415.461	0.11	
415.925	-0.01	415.925	0.75	415.925	0.11	
416.388	-0.01	416.388	0.75	416.388	0.11	
416.852	-0.01	416.852	0.75	416.852	0.11	
417.316	-0.01	417.316	0.75	417.316	0.11	
417.78	-0.01	417.78	0.75	417.78	0.1	
418.244	-0.01	418.244	0.75	418.244	0.1	
418.708	-0.01	418.708	0.75	418.708	0.1	
419.172	-0.01	419.172	0.75	419.172	0.1	
419.636	-0.01	419.636	0.75	419.636	0.1	
420.1	-0	420.1	0.75	420.1	0.1	
420.564	-0	420.564	0.75	420.564	0.1	
421.028	-0	421.028	0.75	421.028	0.1	
421.492	-0	421.492	0.75	421.492	0.1	
421.956	-0	421.956	0.75	421.956	0.09	
422.421	-0	422.421	0.75	422.421	0.09	
422.885	-0	422.885	0.76	422.885	0.09	
423.349	-0	423.349	0.75	423.349	0.09	
423.813	-0	423.813	0.76	423.813	0.09	
424.278	-0	424.278	0.76	424.278	0.09	
424.742	-0	424.742	0.76	424.742	0.09	
425.207	-0	425.207	0.76	425.207	0.09	
425.671	-0	425.671	0.76	425.671	0.09	
426.136	-0	426.136	0.76	426.136	0.09	
426.6	-0	426.6	0.76	426.6	0.08	
427.065	-0	427.065	0.76	427.065	0.08	
